Nr,Name,FIDE ID,Born,Birthplace,Died,Title,Federation,Sex,Notes
1351,"Parma, Bruno",14600706,30.12.1941,Ljubljana,,1963,Yugoslavia,M,Gaige; currently Slovenia
926,"Kovačević, Vlatko",14500078,26.03.1942,Dubrovnik,,1976,Yugoslavia,M,currently Croatia
1874,"Velimirović, Dragoljub",900079,12.05.1942,Valjevo,22.05.2014,1973,Yugoslavia,M,later Serbia
1468,"Rajković, Dušan",900265,17.06.1942,Kruševac,,1977,Yugoslavia,M,currently Serbia
1910,"Vukić, Milan",900273,19.08.1942,Sanski Most,,1975,Yugoslavia,M,later Serbia and Montenegro and Serbia; currently Bosnia and Herzegovina
779,"Jansa, Vlastimil",300128,27.11.1942,Prague,,1974,Czecho­slovakia,M,currently Czech Republic
476,"Fischer, Robert James",2000016,09.03.1943,Chicago,17.01.2008,1958,United States,M,
1699,"Spassov, Liuben",2900220,22.03.1943,Sofia,,1976,Bulgaria,M,sometimes spelled Spasov
1589,"Schmidt, Włodzimierz",1100041,10.04.1943,Poznań,01.04.2023,1976,Poland,M,[obit 35]
1255,"Nemet, Ivan",1301438,14.04.1943,Sombor,16.12.2007,1978,Yugoslavia,M,later Switzerland
1695,"Sosonko, Gennadi",1000039,18.05.1943,Troitsk,,1976,Soviet Union,M,currently Netherlands
1505,"Rodríguez Vargas, Orestes",2203189,04.07.1943,Lima,,1978,Peru,M,currently Spain
1387,"Pfleger, Helmut",4600100,06.08.1943,Teplice-Šanov,,1975,West Germany,M,currently Germany
834,"Kavalek, Lubomir",2000121,09.08.1943,Prague,18.01.2021,1966,United States,M,[note 52][obit 17]
1826,"Tseitlin, Mark D.",2800128,23.09.1943,Leningrad,24.01.2022,1997,Israel,M,
707,"Hort, Vlastimil",4600029,12.01.1944,Kladno,,1965,Czecho­slovakia,M,Gaige; later West Germany; currently Germany
548,"Gheorghiu, Florin",1200011,06.04.1944,Bucharest,,1965,Romania,M,Gaige; Di Felice
1613,"Shalnev, Nikolai",4146042,16.04.1944,,,2001,Russia,M,currently Germany
1400,"Planinec, Albin",14600730,18.04.1944,Briše,20.12.2008,1972,Yugoslavia,M,later Slovenia; also Planinc
1932,"Westerinen, Heikki M. J.",500020,27.04.1944,Helsinki,,1975,Finland,M,
415,"Dzindzi­chashvili, Roman",2000113,05.05.1944,Tbilisi,,1977,Soviet Union,M,later Israel; currently United States
895,"Komljenović, Davorin",14500132,01.07.1944,Mostar,,1991,Croatia,M,
520,"García Martínez, Silvino",3500179,04.07.1944,Havana,,1975,Cuba,M,
1484,"Ree, Hans",1000098,15.09.1944,Amsterdam,,1980,Netherlands,M,
1827,"Tseshkovsky, Vitaly",4100921,25.09.1944,Omsk,24.12.2011,1975,Soviet Union,M,later Russia
279,"Cebalo, Mišo",14500094,06.02.1945,Zagreb,02.09.2022,1985,Yugoslavia,M,later Croatia[note 14]
1399,"Plachetka, Ján",14900068,18.02.1945,Trenčín,,1978,Czecho­slovakia,M,currently Slovakia
1121,"Martinović, Slobodan",900931,25.07.1945,Belgrade,10.01.2015,1979,Yugoslavia,M,later Serbia
37,"Alburt, Lev",2000156,21.08.1945,Orenburg,,1977,Soviet Union,M,currently United States
872,"Kirov, Nino",2900076,09.09.1945,Blagoevgrad,25.09.2008,1975,Bulgaria,M,;[note 54]
641,"Gutman, Lev",4600177,26.09.1945,Riga,,1986,Israel,M,; currently Germany
1482,"Razuvaev, Yuri",4100301,10.10.1945,Moscow,21.03.2012,1976,Soviet Union,M,later Russia
1750,"Suttles, Duncan",2600056,21.12.1945,San Francisco,,1973,Canada,M,
